subject.id,institution
D1,UC Davis
D10,UC Davis
D11,UC Davis
D12,UC Davis
D13,UC Davis
D14,UC Davis
D15,UC Davis
D16,UC Davis
D17,UC Davis
D2,UC Davis
D3,UC Davis
D4,UC Davis
D5,UC Davis
D7,UC Davis
D8,UC Davis
D9,UC Davis
M1,UMass
M10,UMass
M11,UMass
M12,UMass
M13,UMass
M2,UMass
M3,UMass
M4,UMass
M5,UMass
M6,UMass
M7,UMass
M8,UMass
V1,Vanderbilt
V10,Vanderbilt
V11,Vanderbilt
V12,Vanderbilt
V13,Vanderbilt
V14,Vanderbilt
V15,Vanderbilt
V16,Vanderbilt
V2,Vanderbilt
V3,Vanderbilt
V4,Vanderbilt
V5,Vanderbilt
V6,Vanderbilt
V7,Vanderbilt
V8,Vanderbilt
V9,Vanderbilt
Y1,Yale
Y10,Yale
Y11,Yale
Y12,Yale
Y13,Yale
Y14,Yale
Y15,Yale
Y16,Yale
Y2,Yale
Y3,Yale
Y4,Yale
Y5,Yale
Y6,Yale
Y7,Yale
Y8,Yale
Y9,Yale
D1,UC Davis
D10,UC Davis
D11,UC Davis
D12,UC Davis
D13,UC Davis
D14,UC Davis
D15,UC Davis
D16,UC Davis
D17,UC Davis
D2,UC Davis
D3,UC Davis
D4,UC Davis
D5,UC Davis
D7,UC Davis
D8,UC Davis
D9,UC Davis
M1,UMass
M10,UMass
M11,UMass
M12,UMass
M13,UMass
M2,UMass
M3,UMass
M4,UMass
M5,UMass
M6,UMass
M7,UMass
M8,UMass
V1,Vanderbilt
V10,Vanderbilt
V11,Vanderbilt
V12,Vanderbilt
V13,Vanderbilt
V14,Vanderbilt
V15,Vanderbilt
V16,Vanderbilt
V2,Vanderbilt
V3,Vanderbilt
V4,Vanderbilt
V5,Vanderbilt
V6,Vanderbilt
V7,Vanderbilt
V8,Vanderbilt
V9,Vanderbilt
Y1,Yale
Y10,Yale
Y11,Yale
Y12,Yale
Y13,Yale
Y14,Yale
Y15,Yale
Y16,Yale
Y2,Yale
Y3,Yale
Y4,Yale
Y5,Yale
Y6,Yale
Y9,Yale